,mac_address,lat,lon
1,0001f45ba4df,41.1744111,-8.6001317
2,0001f45ba4df,41.1745918,-8.6000116
3,00025b010202,41.1571282,-8.6238264
4,00025b010202,41.1571039,-8.6238412
5,00025b010202,41.1571536,-8.624184
6,0004e2fdd9b4,41.1475379,-8.6007014
7,0004e2fdd9b4,41.1474929,-8.6008718
8,0004e2fdd9b4,41.1475136,-8.6009254
9,0004e2fdd9b4,41.147615,-8.6004965
10,0004e2fdd9b4,41.1475675,-8.6005696
11,0004e2fdd9b4,41.1476697,-8.6007786
12,0005ca5ec239,41.164203,-8.6051728
13,0005ca5ec239,41.1642454,-8.6054367
14,0005ca5ec239,41.1642486,-8.60544
15,0005ca5ec239,41.1642457,-8.6054339
16,0005ca5ec239,41.1641916,-8.6054713
17,0005ca5ec239,41.1642135,-8.6054866
18,0005ca5ec239,41.1642413,-8.6054781
19,0005ca5ec239,41.1642439,-8.6054945
20,0005ca5ec239,41.1642735,-8.6053302
21,0005ca5ec239,41.1642918,-8.6052919
22,0005ca5ec239,41.1642923,-8.605292
23,0005ca5ec239,41.1642876,-8.605292
24,0005ca5ec239,41.1642532,-8.6054018
25,0005ca5ec239,41.1643686,-8.6053071
26,0005ca5ec239,41.1643676,-8.6053414
27,0005ca5ec239,41.1644444,-8.605331
28,0005ca5ec239,41.1643856,-8.6053368
29,0005ca5ec239,41.1643537,-8.6054414
30,0005ca5ec239,41.1643602,-8.6053591
31,0005ca5ec239,41.1644999,-8.6053366
32,0005ca5ec239,41.1644744,-8.6053451
33,0005ca5ec239,41.1644603,-8.6053052
34,0005ca5ec239,41.1645333,-8.6053066
35,0005ca5ec239,41.1645283,-8.6053366
36,0005ca5ec239,41.1645233,-8.6052799
37,0005ca5ec239,41.1644666,-8.60533
38,0005ca5ec239,41.164525,-8.6054833
39,0005ca5ec239,41.1645566,-8.6050916
40,0005ca5ec239,41.1645933,-8.605285
41,0005ca5ec239,41.1645583,-8.605345
42,0005ca5ec239,41.1645629,-8.6053462
43,0005ca5ec239,41.164565,-8.6053976
44,0005ca5ec239,41.1647383,-8.6053166
45,0005ca5ec239,41.1646916,-8.6053699
46,0005ca5ec239,41.164675,-8.605375
47,0005ca5ec239,41.164675,-8.605375
48,0005ca5ec239,41.1647933,-8.6052366
49,0005ca5ec239,41.16481,-8.6053699
50,0005ca5ec239,41.16481,-8.6053699
51,0005ca5ec239,41.1647516,-8.6054187
52,0005ca5f6169,41.1627434,-8.6247596
53,0005ca5f6169,41.162712,-8.6247634
54,0005ca5f6169,41.1627494,-8.6247562
55,0005ca5f6169,41.1627724,-8.6247469
56,0005ca5f6169,41.1628295,-8.6247802
57,0005ca5f6169,41.1627667,-8.6247533
58,0005ca5f6169,41.1628158,-8.624767
59,0005ca5f6169,41.1628716,-8.6247785
60,0005ca5f6169,41.1629165,-8.6247917
61,0005ca5f6169,41.162857,-8.6247781
62,0005ca5f6169,41.1629076,-8.6247901
63,0005ca5f6169,41.1631153,-8.6248841
64,0005ca5f6169,41.1630698,-8.6248665
65,0005ca5f6229,41.1629961,-8.5860555
66,0005ca5f6229,41.1630427,-8.58607
67,0005ca5f6229,41.1630098,-8.5861169
68,0005ca5f6229,41.1630098,-8.5861276
69,0005ca5f6229,41.1630399,-8.5860625
70,0005ca5f6229,41.1630466,-8.5862827
71,0005ca5f6229,41.1631301,-8.5861012
72,0005ca5f6229,41.1630511,-8.5862185
73,0005ca5f6229,41.1631509,-8.5859336
74,0005ca5f6229,41.1633167,-8.5859987
75,0005ca5f6229,41.1633219,-8.5860536
76,0005ca5f6229,41.1633207,-8.5862711
77,0005ca5f6229,41.1633187,-8.5864357
78,0005ca5f6229,41.1633566,-8.5862483
79,0005ca5f6229,41.1633612,-8.586314
80,0005ca5f6229,41.1633522,-8.5863208
81,0005ca5f6229,41.1633733,-8.5863433
82,0005ca5f6229,41.1633843,-8.5863771
83,0005ca5f6229,41.1634116,-8.5864766
84,0005ca5f7939,41.1655883,-8.6459116
85,0005ca5f7939,41.1655916,-8.6458933
86,0005ca5f7939,41.1655867,-8.6459399
87,0005ca5f7939,41.1655933,-8.6459183
88,0005ca5f7939,41.1655833,-8.6458716
89,0005ca5f7939,41.1655658,-8.6461338
90,0005ca5f7939,41.1655704,-8.6461222
91,0005ca5f7939,41.165599,-8.6463108
92,0005ca5f7939,41.1656087,-8.6463243
93,0005ca5f7e39,41.1645997,-8.6401995
94,0005ca5f7e39,41.1645861,-8.6402463
95,0005ca5f7e39,41.1645812,-8.6401737
96,0005ca5f7e39,41.1646142,-8.6403728
97,0005ca5f7e39,41.164641,-8.6404289
98,0005ca5f7e39,41.1646349,-8.6405383
99,0005ca5f7e39,41.1646251,-8.6404659
100,0005ca5f7e39,41.1645916,-8.6405083
101,0005ca5f7e39,41.16462,-8.6408383
102,0005ca5f7e39,41.1647125,-8.6403122
103,0005ca5f7e39,41.1647143,-8.6404308
104,0005ca5f7e39,41.1646933,-8.6404816
105,0005ca5f7e39,41.1646766,-8.6406033
106,0005ca5f7e39,41.1646695,-8.6406708
107,0005ca5f7e39,41.1646763,-8.6407352
108,0005ca5f7e39,41.1646751,-8.6406891
109,0005ca5f7e39,41.1646599,-8.6407816
110,0005ca5f7e39,41.1646779,-8.6409668
111,0005ca5f7e39,41.1647766,-8.6403866
112,0005ca5f7e39,41.164783,-8.6405776
113,0005ca5f7e39,41.1648176,-8.6406077
114,0005ca5f7fa9,41.1532011,-8.6002502
115,0005ca5f7fa9,41.1532343,-8.600559
116,0005ca5f7fa9,41.1532535,-8.6007386
117,0005ca5f7fa9,41.1533369,-8.6007827
118,0005ca5f8069,41.1703664,-8.6036388
119,0005ca5f8069,41.170406,-8.6036774
120,0005ca5f8b99,41.1531839,-8.5999451
121,0005ca5f8b99,41.1532011,-8.6002502
122,0005ca5f8b99,41.1532894,-8.5997178
123,0005ca5f8b99,41.1535112,-8.5996762
124,0005ca62f209,41.1617199,-8.64374
125,0005ca62f209,41.1617633,-8.6437166
126,0005ca62f209,41.1617933,-8.6437216
127,0005ca62f209,41.1618316,-8.6438033
128,0005ca62f219,41.1580052,-8.6017014
129,0005ca62f219,41.1579793,-8.6017154
130,0005ca62f219,41.1580587,-8.6016154
131,0005ca62f219,41.1580798,-8.6016109
132,0005ca62f429,41.1645706,-8.6015297
133,0005ca62f779,41.1739683,-8.583105
134,0005ca62f779,41.1740331,-8.5830728
135,0005ca62fb39,41.1569625,-8.599043
136,0005ca62fb39,41.157276,-8.5989682
137,0005ca630e19,41.15459198,-8.63058195
138,0005ca630e19,41.1546332,-8.6308367
139,0005ca630e19,41.1545683,-8.6309356
140,0005ca6319a9,41.1654283,-8.644585
141,0005ca6319a9,41.1654045,-8.6445637
142,0005ca6319a9,41.1654533,-8.6448183
143,0005ca6319a9,41.1655733,-8.6447783
144,0005ca6319a9,41.16564,-8.6448839
145,0005ca6319a9,41.1657337,-8.6446397
146,0005ca6319a9,41.165725,-8.64464
147,0005ca6319a9,41.1657516,-8.6443099
148,0005ca6319a9,41.1658325,-8.6444887
149,0005ca6319a9,41.1659316,-8.6445333
150,0005ca633529,41.1640052,-8.6315731
151,0005ca633529,41.163972,-8.6316575
152,0005ca633529,41.1639794,-8.6319168
153,0005ca633529,41.1640087,-8.6320456
154,0005ca633529,41.1639729,-8.6320027
155,0005ca633529,41.1641191,-8.6316161
156,0005ca633529,41.1641484,-8.6317449
157,0005ca634109,41.1589895,-8.5978546
158,0005ca634109,41.1591439,-8.5978117
159,0005ca634109,41.1592433,-8.597865
160,0005ca634109,41.1592772,-8.5974661
161,0005ca634109,41.1593453,-8.5977584
162,0005ca634109,41.1593665,-8.5978473
163,0005ca634109,41.1593633,-8.597888
164,0005ca634109,41.1593766,-8.5981132
165,0005ca6344b9,41.1530234,-8.6482001
166,0005ca6344b9,41.1529815,-8.6482535
167,0005ca6344b9,41.1531045,-8.6481457
168,0005ca6344b9,41.1531222,-8.6481383
169,0005ca6344b9,41.1530879,-8.648152
170,0005ca6344b9,41.1531576,-8.6481271
171,0005ca6344b9,41.1532159,-8.6481337
172,0005ca6345c9,41.1616946,-8.6132757
173,0005ca6345c9,41.1616946,-8.6132757
174,0005ca6345c9,41.161885,-8.613273
175,0005ca6345c9,41.161855,-8.613264
176,0005ca6345c9,41.1619847,-8.6133301
177,0005ca6345c9,41.162049,-8.6132847
178,0005ca6345c9,41.1619967,-8.6133419
179,0005ca6345c9,41.1620234,-8.6132835
180,0005ca6345c9,41.1620131,-8.6132964
181,0005ca6345c9,41.1619593,-8.6132941
182,0005ca6345c9,41.1619843,-8.6133787
183,0005ca6345c9,41.1619567,-8.61338
184,0005ca6345c9,41.1620879,-8.6132439
185,0005ca6345c9,41.1620623,-8.6132272
186,0005ca6345c9,41.1620902,-8.6132365
187,0005ca6345c9,41.1621001,-8.6133006
188,0005ca6345c9,41.1620957,-8.6133022
189,0005ca6345c9,41.1621032,-8.6133421
190,0005ca6345c9,41.162056,-8.6133002
191,0005ca6345c9,41.1621009,-8.6133351
192,0005ca6345c9,41.1620856,-8.6133501
193,0005ca6345c9,41.1620978,-8.6134679
194,0005ca6345c9,41.1621657,-8.6132867
195,0005ca6345c9,41.1621549,-8.6132557
196,0005ca634629,41.1583616,-8.6283683
197,0005ca634629,41.158425,-8.6283516
198,0005ca634629,41.15835,-8.62843
199,0005ca634629,41.1583849,-8.6285049
200,0005ca634629,41.1584333,-8.6285983
201,0005ca634629,41.1584366,-8.628655
202,0005ca634629,41.1584258,-8.6287875
203,0005ca634629,41.1585278,-8.6282901
204,0005ca634629,41.1585055,-8.6283014
205,0005ca634629,41.1585023,-8.6282762
206,0005ca634629,41.1585118,-8.628252
207,0005ca634629,41.1585429,-8.6283095
208,0005ca634629,41.1584864,-8.6282581
209,0005ca634629,41.158515,-8.6283067
210,0005ca634629,41.1584636,-8.6283278
211,0005ca634629,41.1585466,-8.6283999
212,0005ca634629,41.1585458,-8.6284185
213,0005ca634629,41.1585428,-8.6284075
214,0005ca634629,41.1584583,-8.6283933
215,0005ca634629,41.1585433,-8.6284054
216,0005ca634629,41.1584782,-8.628414
217,0005ca634629,41.1585233,-8.628475
218,0005ca634629,41.1585483,-8.6285399
219,0005ca634629,41.1584933,-8.6286433
220,0005ca634629,41.1585199,-8.6285866
221,0005ca634629,41.1584983,-8.6286016
222,0005ca634629,41.1585383,-8.6285633
223,0005ca634629,41.1584566,-8.62857
224,0005ca634629,41.1585099,-8.6286483
225,0005ca634629,41.1584816,-8.6286766
226,0005ca634629,41.1584798,-8.6286788
227,0005ca634629,41.1584933,-8.6287283
228,0005ca634629,41.1584966,-8.6287933
229,0005ca634629,41.1584749,-8.62876
230,0005ca634629,41.1585302,-8.6288481
231,0005ca634629,41.1585216,-8.6287766
232,0005ca634629,41.158505,-8.6289016
233,0005ca634629,41.1584898,-8.6289462
234,0005ca634629,41.1585375,-8.6288559
235,0005ca634629,41.1584524,-8.6289474
236,0005ca634629,41.1584533,-8.6289475
237,0005ca634629,41.158632,-8.6281611
238,0005ca634629,41.1586016,-8.6281616
239,0005ca634629,41.1585966,-8.6282033
240,0005ca634629,41.1586418,-8.6281934
241,0005ca634629,41.1586393,-8.628211
242,0005ca634629,41.158625,-8.6282283
243,0005ca634629,41.1585733,-8.62815
244,0005ca634629,41.1585807,-8.628216
245,0005ca634629,41.15856,-8.628195
246,0005ca634629,41.1586016,-8.6281933
247,0005ca634629,41.1585713,-8.6282028
248,0005ca634629,41.1585971,-8.6281692
249,0005ca634629,41.1586166,-8.62823
250,0005ca634629,41.1585933,-8.6281533
251,0005ca634629,41.1586416,-8.6282766
252,0005ca634629,41.158605,-8.62831
253,0005ca634629,41.1586333,-8.628295
254,0005ca634629,41.1586183,-8.62829
255,0005ca634629,41.1586416,-8.6282733
256,0005ca634629,41.1586197,-8.6283133
257,0005ca634629,41.1586123,-8.6282534
258,0005ca634629,41.1586449,-8.6282633
259,0005ca634629,41.1586231,-8.6283081
260,0005ca634629,41.1585816,-8.62826
261,0005ca634629,41.1586067,-8.6282569
262,0005ca634629,41.1585966,-8.6283183
263,0005ca634629,41.158643,-8.6283044
264,0005ca634629,41.1586316,-8.6282633
265,0005ca634629,41.1585999,-8.6282766
266,0005ca634629,41.1585696,-8.6282727
267,0005ca634629,41.1586027,-8.6282574
268,0005ca634629,41.1585647,-8.6283016
269,0005ca634629,41.1586449,-8.62833
270,0005ca634629,41.1586063,-8.6282565
271,0005ca634629,41.1585916,-8.6282566
272,0005ca634629,41.1586242,-8.6282871
273,0005ca634629,41.1586449,-8.6282866
274,0005ca634629,41.1586383,-8.6282699
275,0005ca634629,41.1586365,-8.6283094
276,0005ca634629,41.1586333,-8.62828
277,0005ca634629,41.1586461,-8.6283235
278,0005ca634629,41.1585883,-8.6283383
279,0005ca634629,41.1586138,-8.6283181
280,0005ca634629,41.158609,-8.6283517
281,0005ca634629,41.1585766,-8.6283783
282,0005ca634629,41.1586262,-8.6283944
283,0005ca634629,41.1585649,-8.62839
284,0005ca634629,41.1586103,-8.6284211
285,0005ca634629,41.1585607,-8.628437
286,0005ca634629,41.1586262,-8.6283944
287,0005ca634629,41.158595,-8.6284316
288,0005ca634629,41.1585583,-8.6283683
289,0005ca634629,41.1586436,-8.6283777
290,0005ca634629,41.1586428,-8.6283656
291,0005ca634629,41.1586099,-8.6283933
292,0005ca634629,41.1586366,-8.6285283
293,0005ca634629,41.1586208,-8.6284685
294,0005ca634629,41.1586083,-8.628465
295,0005ca634629,41.1586455,-8.6284592
296,0005ca634629,41.1585956,-8.6285145
297,0005ca634629,41.1586183,-8.62845
298,0005ca634629,41.1586033,-8.6286516
299,0005ca634629,41.15858,-8.628695
300,0005ca634629,41.1586075,-8.6286788
301,0005ca634629,41.1585533,-8.6287566
302,0005ca634629,41.1585783,-8.62875
303,0005ca634629,41.1585844,-8.6289431
304,0005ca634629,41.1586016,-8.6288942
305,0005ca634629,41.1585888,-8.6289081
306,0005ca634629,41.1585994,-8.6288553
307,0005ca634629,41.1585534,-8.6290362
308,0005ca634629,41.1587123,-8.6282329
309,0005ca634629,41.1587329,-8.6282255
310,0005ca634629,41.158705,-8.6281765
311,0005ca634629,41.1586883,-8.6281916
312,0005ca634629,41.1586872,-8.6282463
313,0005ca634629,41.1586999,-8.628185
314,0005ca634629,41.1586866,-8.6281616
315,0005ca634629,41.1586816,-8.6281783
316,0005ca634629,41.1587172,-8.6282226
317,0005ca634629,41.1587133,-8.6282166
318,0005ca634629,41.1586774,-8.6281672
319,0005ca634629,41.1586816,-8.6281766
320,0005ca634629,41.1586545,-8.6281851
321,0005ca634629,41.1586666,-8.6281533
322,0005ca634629,41.15874,-8.6282317
323,0005ca634629,41.1586935,-8.62824
324,0005ca634629,41.158685,-8.6281833
325,0005ca634629,41.158695,-8.6281983
326,0005ca634629,41.1587016,-8.628205
327,0005ca634629,41.1587457,-8.6282089
328,0005ca634629,41.1587116,-8.6282016
329,0005ca634629,41.1586749,-8.62823
330,0005ca634629,41.15868,-8.6281733
331,0005ca634629,41.1586999,-8.628175
332,0005ca634629,41.1586749,-8.62816
333,0005ca634629,41.1587107,-8.6283085
334,0005ca634629,41.1587371,-8.6283012
335,0005ca634629,41.1587024,-8.6283334
336,0005ca634629,41.15874,-8.6282883
337,0005ca634629,41.1587442,-8.6283362
338,0005ca634629,41.1586899,-8.6282883
339,0005ca634629,41.1586525,-8.6282927
340,0005ca634629,41.1586566,-8.6283316
341,0005ca634629,41.1586803,-8.6283449
342,0005ca634629,41.1586899,-8.6283233
343,0005ca634629,41.158699,-8.6282975
344,0005ca634629,41.1586516,-8.6283083
345,0005ca634629,41.158685,-8.6283336
346,0005ca634629,41.1586649,-8.6282539
347,0005ca634629,41.1586608,-8.6283314
348,0005ca634629,41.158665,-8.628285
349,0005ca634629,41.1586769,-8.6283351
350,0005ca634629,41.1587199,-8.62829
351,0005ca634629,41.1587113,-8.6283376
352,0005ca634629,41.1587069,-8.6283194
353,0005ca634629,41.1586599,-8.628348
354,0005ca634629,41.1586569,-8.6283237
355,0005ca634629,41.1587178,-8.6282556
356,0005ca634629,41.158742,-8.6283156
357,0005ca634629,41.1587333,-8.6282683
358,0005ca634629,41.1587471,-8.6282779
359,0005ca634629,41.1587134,-8.6283339
360,0005ca634629,41.1586769,-8.6283326
361,0005ca634629,41.1587416,-8.6282816
362,0005ca634629,41.1586883,-8.628345
363,0005ca634629,41.1587199,-8.6284083
364,0005ca634629,41.1587383,-8.6284499
365,0005ca634629,41.1586602,-8.6283801
366,0005ca634629,41.1587383,-8.6284483
367,0005ca634629,41.1586833,-8.62835
368,0005ca634629,41.1587349,-8.6284349
369,0005ca634629,41.1587265,-8.6284115
370,0005ca634629,41.1587116,-8.6283916
371,0005ca634629,41.1587224,-8.62838
372,0005ca634629,41.1586827,-8.6283598
373,0005ca634629,41.1586809,-8.6283805
374,0005ca634629,41.1587033,-8.6283583
375,0005ca634629,41.1587116,-8.6283816
376,0005ca634629,41.1587353,-8.6284069
377,0005ca634629,41.1587216,-8.6284433
378,0005ca634629,41.158707,-8.6284059
379,0005ca634629,41.1587331,-8.6283981
380,0005ca634629,41.1587499,-8.6283816
381,0005ca634629,41.1586711,-8.6283965
382,0005ca634629,41.1587496,-8.6284368
383,0005ca634629,41.1587465,-8.628397
384,0005ca634629,41.1587049,-8.6284049
385,0005ca634629,41.1587465,-8.6283515
386,0005ca634629,41.1587043,-8.6283944
387,0005ca634629,41.1586666,-8.6284483
388,0005ca634629,41.15871,-8.628395
389,0005ca634629,41.1587099,-8.6283756
390,0005ca634629,41.1586947,-8.6283978
391,0005ca634629,41.1586983,-8.6284066
392,0005ca634629,41.1586999,-8.6283599
393,0005ca634629,41.1586566,-8.6284607
394,0005ca634629,41.1587126,-8.6285069
395,0005ca634629,41.1587286,-8.6285455
396,0005ca634629,41.1587256,-8.6285062
397,0005ca634629,41.158714,-8.6284715
398,0005ca634629,41.1586549,-8.6284683
399,0005ca634629,41.1587411,-8.6285155
400,0005ca634629,41.1587361,-8.6285201
401,0005ca634629,41.158677,-8.6285467
402,0005ca634629,41.1586936,-8.628495
403,0005ca634629,41.158654,-8.6284592
404,0005ca634629,41.158695,-8.6284783
405,0005ca634629,41.1586913,-8.6285662
406,0005ca634629,41.1586899,-8.6286433
407,0005ca634629,41.1587183,-8.6285583
408,0005ca634629,41.1587433,-8.628555
409,0005ca634629,41.158725,-8.628615
410,0005ca634629,41.1586757,-8.6285874
411,0005ca634629,41.1587049,-8.6285883
412,0005ca634629,41.1586766,-8.628715
413,0005ca634629,41.158665,-8.6286933
414,0005ca634629,41.1587183,-8.6287066
415,0005ca634629,41.1586666,-8.628695
416,0005ca634629,41.1587183,-8.6288083
417,0005ca634629,41.1586997,-8.6288076
418,0005ca634629,41.1586666,-8.62875
419,0005ca634629,41.1587473,-8.6288439
420,0005ca634629,41.1586966,-8.6287566
421,0005ca634629,41.1586659,-8.6288123
422,0005ca634629,41.1587449,-8.62878
423,0005ca634629,41.1586852,-8.6288844
424,0005ca634629,41.1587016,-8.6288533
425,0005ca634629,41.1587173,-8.6288992
426,0005ca634629,41.1587388,-8.6288534
427,0005ca634629,41.1587191,-8.6288608
428,0005ca634629,41.1586879,-8.6288541
429,0005ca634629,41.158689,-8.6289045
430,0005ca634629,41.1586897,-8.6289117
431,0005ca634629,41.1587466,-8.6289183
432,0005ca634629,41.1586574,-8.6288986
433,0005ca634629,41.1587449,-8.6290316
434,0005ca634629,41.1586791,-8.6289902
435,0005ca634629,41.1587083,-8.6289649
436,0005ca634629,41.1587466,-8.62903
437,0005ca634629,41.1587383,-8.6290216
438,0005ca634629,41.1587044,-8.6289569
439,0005ca634629,41.1587466,-8.629025
440,0005ca634629,41.1586883,-8.6289858
441,0005ca634629,41.1586866,-8.628995
442,0005ca634629,41.158755,-8.6282233
443,0005ca634629,41.158806,-8.628241
444,0005ca634629,41.1587563,-8.6281712
445,0005ca634629,41.1588138,-8.628269
446,0005ca634629,41.1587533,-8.6283016
447,0005ca634629,41.1588412,-8.6283023
448,0005ca634629,41.1588277,-8.6283426
449,0005ca634629,41.1587817,-8.628347
450,0005ca634629,41.1588266,-8.6283216
451,0005ca634629,41.1588099,-8.6283066
452,0005ca634629,41.1587616,-8.62832
453,0005ca634629,41.1587923,-8.6282917
454,0005ca634629,41.1588383,-8.6283216
455,0005ca634629,41.1588327,-8.6283028
456,0005ca634629,41.1587922,-8.6282796
457,0005ca634629,41.1587921,-8.6282765
458,0005ca634629,41.1587715,-8.6283286
459,0005ca634629,41.1588232,-8.6283363
460,0005ca634629,41.1588384,-8.6283422
461,0005ca634629,41.1587823,-8.6283944
462,0005ca634629,41.1588364,-8.6284357
463,0005ca634629,41.1587823,-8.6283944
464,0005ca634629,41.1587753,-8.6284145
465,0005ca634629,41.1587996,-8.6284254
466,0005ca634629,41.1588316,-8.6283699
467,0005ca634629,41.1588201,-8.6284403
468,0005ca634629,41.1587865,-8.6283648
469,0005ca634629,41.158841,-8.6284299
470,0005ca634629,41.1587823,-8.6283944
471,0005ca634629,41.1588169,-8.6284443
472,0005ca634629,41.1587823,-8.6283944
473,0005ca634629,41.1587533,-8.6284499
474,0005ca634629,41.158769,-8.6283904
475,0005ca634629,41.1588243,-8.6283699
476,0005ca634629,41.1587823,-8.6283944
477,0005ca634629,41.1587666,-8.6284149
478,0005ca634629,41.158789,-8.6283839
479,0005ca634629,41.1587823,-8.6283944
480,0005ca634629,41.1587536,-8.6283936
481,0005ca634629,41.1587952,-8.6283892
482,0005ca634629,41.1587513,-8.6283781
483,0005ca634629,41.15876,-8.6283816
484,0005ca634629,41.1587683,-8.6284333
485,0005ca634629,41.1587983,-8.6284866
486,0005ca634629,41.158839,-8.6285288
487,0005ca634629,41.1587758,-8.6284803
488,0005ca634629,41.1588399,-8.62852
489,0005ca634629,41.158826,-8.6285105
490,0005ca634629,41.158773,-8.6284713
491,0005ca634629,41.1588083,-8.6284983
492,0005ca634629,41.1588031,-8.6285046
493,0005ca634629,41.1587966,-8.6285116
494,0005ca634629,41.1588233,-8.62851
495,0005ca634629,41.158785,-8.6284666
496,0005ca634629,41.1587758,-8.6284803
497,0005ca634629,41.1588164,-8.6285281
498,0005ca634629,41.1588399,-8.6285066
499,0005ca634629,41.1587949,-8.62848
500,0005ca634629,41.1588156,-8.6285482
501,0005ca634629,41.1588433,-8.6285216
502,0005ca634629,41.1587666,-8.6285166
503,0005ca634629,41.1588483,-8.6285466
504,0005ca634629,41.1587758,-8.6284803
505,0005ca634629,41.1587895,-8.6284834
506,0005ca634629,41.1587728,-8.6284647
507,0005ca634629,41.1588266,-8.6285216
508,0005ca634629,41.1587758,-8.6284803
